Time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12
142,-4.252792451,-10.39474705,-20.59438087,-10.78811584,2.173651398,-12.16984703,-31.02612386,-38.40511778,-42.56283651,-3.239323632,-15.0351292,-13.99222826
144,-0.229698021,-23.3805841,-23.56835332,-19.75375807,-10.79748599,-7.157007844,-30.98722872,-33.35615371,0.489392231,-2.197551108,-4.03273128,-17.95075091
146,-5.206603592,-5.366421145,-24.54232577,6.280599692,-6.768623385,-23.14416866,-17.94833359,-24.30718964,-36.45837903,3.844221416,-11.03033336,-16.90927355
148,-2.183509162,-17.35225819,-3.51629822,3.314957456,7.260239224,-20.13132947,-19.90943846,-37.25822556,-14.40615029,-2.114006061,-10.02793544,-15.8677962
150,-18.16041473,2.661904761,1.509729331,-26.65068478,7.289101832,-16.11849028,-21.87054332,-26.20926149,-32.35392155,3.927766463,-13.02553752,-25.82631885
152,4.862679697,-0.323932286,-21.46424312,-6.616327016,9.31796444,3.894348905,-16.83164819,-12.16029742,-12.30169281,-4.030461013,-14.02313959,-22.7848415
154,1.885774126,-20.30976933,-22.43821557,-34.58196925,3.346827049,-11.09281191,-11.79275306,-43.11133335,-26.24946407,-3.988688489,-17.02074167,-12.74336414
156,-8.091131444,-19.29560638,-26.41218802,-11.54761149,14.37568966,-10.07997272,-27.75385792,-33.06236928,-21.19723533,-22.94691597,-18.01834375,-20.70188679
158,2.931962986,-31.28144343,-27.38616047,-38.51325372,-3.595447734,-15.06713353,-1.714962788,-35.01340521,-27.14500659,-6.905143441,-4.015945829,-6.660409438
160,-6.044942585,-22.26728047,-5.360132914,-15.47889596,10.43341487,0.945705654,-8.676067655,-27.96444114,-35.09277785,-22.86337092,-8.013547908,-14.61893209
162,14.97815184,-19.25311752,-2.334105363,-11.4445382,-6.537722518,-12.04145516,-12.63717252,-27.91547707,-12.04054911,-7.821598394,-12.01114999,-22.57745473
164,-16.99875373,-7.238954569,-25.30807781,1.589819568,3.491140091,18.97138403,-15.59827739,-4.866512999,-25.98832037,1.22017413,6.991247935,-16.53597738
