DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,190.19019,12.97269062,5.579847367,28.37197509,29.38203316,45.90058737,37.4498623,8.270605903,14.78220908,8.473579825,7.012832417,23.62132927,20.3963037,43.21695977,7.51747469,16.43066148,20.66433291,11.93685937,59.33019283,14.78300418,51.70131932,1.362091503,3.754943001,16.16777154,13.26609618,13.85907605,6.304884901,-2.385734041,3.3540833,-2.14603889,18.92547611,18.4408689,-1.176920972,13.61962614,6.101020646,19.76221071,18.77386317,5.432922635,10.26700252,28.55396317,12.41183188
21,20,200.2002,12.84797076,-7.755836763,37.78110217,10.91341898,49.5163666,36.73221233,23.97157388,10.96980663,5.679555517,1.17010474,17.52371401,20.51732209,22.4258441,19.80607183,3.009093308,30.33055012,8.26803181,38.35436306,10.26812596,46.31970736,10.33787184,-0.08801764,9.693753233,9.682947647,11.83576845,10.88307921,-2.351388006,0.29195949,0.198815509,10.45707626,18.90566298,7.535967725,12.85150569,11.88976529,13.29521242,12.83376348,1.260109489,-2.156844691,13.06154346,7.613537403
22,21,210.21021,10.51055445,1.187585707,65.48350255,47.23966961,11.5919628,42.6895246,9.967146565,17.47801883,7.457488385,0.688280083,19.85157666,20.88167027,28.71577612,21.4267669,17.81609879,15.87288414,10.04445801,31.85613245,16.97147341,34.71164673,6.732216809,3.761834896,-1.162903368,9.000675562,20.44087986,5.493493973,-0.502398197,2.155278447,-8.024338743,16.0482792,24.26218468,-0.239189036,16.44071487,5.000840684,16.98524718,8.835435769,14.68017355,15.72999708,6.860324087,36.06825547
23,22,220.22022,5.630769822,9.422042199,19.5344213,21.09228564,49.2737465,19.12562879,9.967239427,4.893979957,8.850360066,-13.72247737,18.90706771,27.09184174,24.86672073,12.80616629,22.02796735,13.69134576,6.725318889,11.37384361,17.22725515,42.6582278,6.284010157,6.584657201,-4.620912816,13.27886244,6.079674346,4.742187317,-0.26294053,0.417703169,2.31642771,15.91341049,2.212431872,6.973350955,7.356056185,10.26468682,12.90460073,20.43143801,9.32615117,9.91371535,12.69070881,25.68305724
24,23,230.23023,5.117462362,4.079833599,24.62736877,24.11807806,28.6868456,23.45711851,13.06973772,6.974834164,7.854752216,5.042379593,10.93854566,29.25853193,12.9388054,24.57879173,22.94520398,22.92750999,13.28466902,34.70824197,11.59090481,52.38607886,6.531543186,2.593656123,12.40637676,6.496087337,16.89867085,10.51141063,5.151659948,0.255587476,-0.080537365,11.36011365,4.218461291,10.4537695,5.376604891,8.816966247,3.872579554,6.155798968,6.260160125,14.38568654,15.68383605,9.746992625
25,24,240.24024,13.47826148,8.253107098,29.58644826,15.6056615,30.59196795,76.80878644,9.351837241,19.87976014,4.994366629,-2.499046658,9.19079239,30.68299507,15.59043769,10.14509966,4.806205914,17.37632367,12.44078636,39.56174993,14.85947427,70.05679245,7.73806042,-0.591053553,-4.08173461,10.84150474,17.80680057,3.037524296,-6.776136222,0.091973234,-2.039868751,14.85910062,4.244303722,15.15550359,3.286161777,5.929596739,4.851005001,5.508807628,3.761105393,21.27376777,15.29280976,13.18709104
26,25,250.25025,11.37901933,-5.578264064,4.660896029,30.37425465,29.35748777,34.8836672,17.4689306,13.7475013,4.587798254,-9.189162379,18.9194114,29.20134338,16.82269183,9.42811395,15.60711318,21.50291402,8.572115397,41.07004655,12.11731911,28.22797748,7.647959212,4.217096097,17.18681751,11.1021073,18.11759554,7.514693606,-1.702987385,-0.081562376,3.753052057,9.314807622,22.59646944,7.147423571,5.21057206,5.556516741,12.22644013,10.54235628,7.177285045,11.43020546,3.604418301,8.629278133
27,26,260.26026,6.850733835,-5.377699818,24.62862742,8.742567758,44.10169278,29.06859942,8.768620364,19.16106665,6.106160245,8.102573814,8.855214641,20.64243014,18.80948138,21.96197008,13.7163287,15.99270782,12.56755915,23.32970094,13.22563786,36.31493368,4.088623507,2.073956286,8.742967624,5.869596147,14.90137073,5.848846561,-0.680336796,-0.984243231,1.945747526,22.24118789,-7.75628108,-0.394987153,14.31271519,6.59819693,6.803123242,18.86188642,8.762553128,22.83873896,6.741342521,26.21786849
28,27,270.27027,11.72593211,10.34294149,23.91575082,20.88282312,42.67961897,55.83481512,-0.0879538,16.60955489,4.462805095,6.306513247,33.6300351,13.56300991,26.09626198,16.2720199,4.674748596,11.29911286,10.88246323,35.0381153,15.71800504,47.42371016,6.059337316,-0.33750675,18.72976058,12.43344916,15.2097849,4.128056167,0.483910858,-0.377443645,2.155569267,13.44335663,18.32206312,8.030003071,5.092129929,11.27877842,8.886891514,6.269649026,5.064981808,17.7581153,15.68275805,12.75912565
29,28,280.28028,6.645899405,2.090793025,45.67806017,45.6283853,49.05941383,18.98752509,17.67821767,11.50315576,5.653080716,14.90075768,1.379890303,22.11028232,23.17219039,10.84104792,23.52479653,19.24624863,7.058903802,40.76902632,9.559086246,25.43726328,7.827903907,5.488420544,-14.57731434,8.191127278,7.756275136,4.615632242,-2.926919835,1.683151608,-6.094779613,10.62767235,10.86094991,0.687447803,1.014559621,-0.185991841,13.30593321,8.157855381,6.140929155,4.337604681,-0.483799139,16.34236284
30,29,290.29029,11.7348868,3.156424523,0.472308957,30.853078,43.58391643,57.98478796,16.5447345,22.98697852,5.771909237,9.970147627,3.456424027,9.387309818,26.77280775,2.222179812,24.85358825,18.7980757,8.385693717,32.46103972,16.29970589,32.51242003,5.096706262,3.65722294,-1.315324246,6.923843024,15.49510892,8.546913036,2.406359664,2.981846116,4.422926699,6.361591239,3.52847008,11.83184659,-0.597362602,-0.527128918,-0.480412151,7.397271009,0.690077758,-1.280136661,6.486990905,20.95148937
31,30,300.3003,5.771057785,17.35904563,27.17995208,31.02352084,26.2999854,5.520923468,2.609991663,23.41615466,4.104385994,-8.589278801,7.04682129,27.0671547,16.39864824,-0.159986974,-1.110321164,6.742421737,10.52306447,43.34684213,14.77333962,50.61711587,3.786361825,4.542302143,9.024906946,6.842953975,8.439905988,8.598487295,-3.886952231,2.230400805,-1.825263707,4.101282267,10.40775551,14.55648115,6.983021857,-0.017427819,12.18418823,6.273249995,-3.483001028,8.733733192,4.924512134,-1.233885524
32,31,310.31031,6.674775032,13.91087162,29.82708752,18.91666955,36.52194273,25.8031815,19.92366645,19.37494994,7.482615012,2.647166755,16.7522142,19.12729203,28.59301908,8.230184204,12.08638227,15.86560309,8.412518704,42.11312652,8.83950053,42.84647,2.559562217,3.913932687,-15.81378032,3.074482619,8.796767402,7.065567403,2.112345026,0.614108127,3.398456726,4.128227533,12.44212607,13.95098056,10.33865894,6.475868742,12.89540225,18.43040815,7.276040878,-18.90713949,4.641305137,21.71500494
33,32,320.32032,13.81443161,7.011649436,29.32327042,44.07189588,44.63518602,36.5032053,22.88754452,13.91753558,7.830700754,-5.696532302,13.59623823,27.288828,28.71104448,14.67825461,9.409123223,14.12435014,10.02131061,63.19904669,12.38703144,51.19102902,5.147303209,2.405251604,-13.16437249,9.148526634,11.87472228,5.803819281,-7.790430979,2.701935611,-3.686041703,10.82142867,16.56792164,4.640151752,4.433117124,0.974357851,8.400494808,10.68643793,1.585817324,-6.581173429,14.21791347,21.0346499
