DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,1718,17197.19718,14.67356493,14.13604214,45.395701,46.60413424,49.77340619,50.71420147,15.67094863,16.15436987,4.109416713,7.804857601,19.39806964,19.30741477,12.66024543,10.33882947,18.37506384,26.77873,5.854335518,21.84999156,1.148215797,17.02507937,2.899714087,4.507798564,28.00269953,10.60383275,16.93228265,6.766464694,17.49033356,5.333017855,29.87432683,30.85312446,36.72379878,35.79733423,29.21316266,8.625914603,17.83016933,19.55321685,32.67478263,36.84209618,16.82566769,18.86017862
1720,1719,17207.20719,5.712314317,26.063061,26.41739235,-1.022554088,14.81999138,38.23023579,29.07246653,11.6760006,5.940160239,18.37616948,23.317496,12.24742821,31.79388406,16.32179756,17.06503267,19.28143587,7.542171461,18.74224189,2.955434309,15.25530369,4.882208388,2.26814211,21.85837101,5.071158689,9.484045584,9.036970423,21.03059561,8.25396448,32.57395824,32.24081337,28.91610797,45.72918336,21.62094402,18.80860119,19.06986594,15.41086621,35.4667494,30.281684,17.42598355,22.43239348
1721,1720,17217.2172,-0.749481264,16.70867373,51.24409781,18.58713165,22.27354177,13.87849255,32.87514723,21.49496267,5.040900686,18.71802286,23.22083721,21.04066943,12.04259456,0.406464014,15.71756225,18.24078101,5.705655463,15.14093294,8.345941318,28.63077811,3.909143162,2.056110285,27.65555332,7.164425111,7.724671948,3.525022381,18.80120422,6.937698353,34.41453167,18.35720305,17.46198006,47.17317975,21.16432617,16.93283628,10.65045249,28.35008186,27.51583486,19.79816677,24.38171718,22.58283402
1722,1721,17227.22721,4.54355852,1.682710886,54.9702675,37.45770086,37.92731718,31.83368905,33.37770415,25.25273857,4.128016753,12.56716143,-5.791567775,13.09147001,9.505923032,6.104056769,21.78291145,20.04768619,3.809511734,20.25908676,4.178477652,19.0001927,5.615444153,6.884060696,10.79967985,7.627626779,10.39672093,0.145229123,20.76994585,8.519370592,29.52052158,29.89957016,40.3201578,20.46055408,28.43760807,17.81759453,14.51583856,24.17196084,31.13298522,47.97386236,11.17136831,7.845785036
1723,1722,17237.23722,6.340938036,29.69825038,59.70847187,22.10439812,18.60116549,15.85913578,42.33996925,6.819057769,5.759739585,24.01332217,19.4477272,20.10150911,11.91293594,2.424112715,16.65415236,11.06887765,5.55213193,25.32239665,9.310765251,17.99462279,7.495188348,4.994678336,30.78152961,-0.546955953,8.799092945,9.386445394,24.55346663,4.598987941,30.19349219,26.53407026,30.25324395,52.27535542,15.35160228,21.80915908,10.59216437,14.83936838,48.06607389,36.68489664,18.76278713,18.03062027
1724,1723,17247.24723,13.6420664,18.90774734,37.67478182,42.20672069,38.37845139,34.93316209,37.04636968,38.27471488,3.433223246,-2.829880122,13.40129629,15.2752051,19.63493535,24.30647504,43.72249108,14.41261602,4.774364457,50.4569286,2.733902795,24.92030135,3.413489823,3.212360886,7.002972598,9.446820047,9.487202755,2.378621358,19.87923831,5.921391679,29.13914616,26.11519937,27.39322449,31.34647472,37.96985311,17.42112559,20.55578293,12.29134325,33.95368551,22.47741183,17.6650446,3.606475898
1725,1724,17257.25724,3.681354945,35.33558176,49.5737408,19.44195739,43.8170007,40.57106957,20.79702923,23.75650108,1.942153448,35.64833528,22.4671937,7.607873297,13.87625267,6.878193024,19.87448715,21.63310206,-0.330281771,26.34565966,6.009222892,25.90188681,3.76203864,3.720704118,28.46926411,7.685903689,16.3039546,8.647581817,17.69825667,6.527364268,36.44036944,34.44361997,31.24188559,45.07406768,28.60070255,24.02997496,10.76003044,5.48829533,30.18000833,34.77018642,13.6768191,29.0994219
1726,1725,17267.26725,3.937274191,26.21011981,41.19326996,44.45093919,43.11705935,6.981293781,28.0003451,8.815419474,5.212996939,27.44569713,11.7766388,-0.775153284,23.80206427,14.35006161,32.90339185,24.43222264,7.884114216,5.086035885,4.477781536,22.4209835,8.061961359,2.260903204,29.14394295,9.690220683,15.78561032,15.08846162,20.09747254,9.627910894,41.43974748,24.34743297,30.2801791,53.69883959,18.34310973,18.26564377,14.53704944,10.26091748,24.06200588,22.00025104,22.40143211,30.67594831
1727,1726,17277.27726,7.276706751,22.84988487,67.07007145,27.39351297,54.62374899,40.87798658,19.90917867,21.43263197,1.864314995,13.99592538,19.5567098,13.79394936,17.94152793,16.46182116,19.68791664,13.38575805,4.898585519,0.058874998,8.934506168,25.14866982,4.507394775,2.387249325,23.80074108,7.090010309,13.70249857,3.206634327,17.99148625,7.730842156,22.50008697,38.32326057,34.64418025,20.86190394,31.25510212,10.90821605,5.492667428,17.65641979,27.86156974,36.92568592,17.39240878,14.38441233
1728,1727,17287.28727,8.000925027,20.18688532,34.80109852,15.2427753,-6.148892761,-2.619163905,35.3125483,10.21625486,4.501893616,22.0368431,26.71865818,26.17263639,10.11067276,6.058001196,15.83206235,29.82735762,3.203865786,53.43568859,3.999890251,11.5139982,5.293286811,2.722438125,28.27841865,4.512540967,6.797000646,6.396997047,21.38826167,4.271774502,26.30969422,26.27447267,17.29290198,39.37595244,22.05714325,22.26703345,10.53766888,14.50671561,19.61343347,25.12564801,6.489909779,18.35152346
1729,1728,17297.29728,10.74514776,24.78245327,34.09693476,28.85740893,39.93936385,30.21598184,32.90865103,24.98880399,6.195758843,8.740071676,19.02277335,22.4305789,20.86286332,11.0800074,32.30530559,20.19773149,2.92081749,44.67943833,5.622384501,28.5873012,3.894306422,4.984795575,29.53744892,6.868503082,12.30409136,5.557002227,17.57430379,6.705462158,24.08579097,22.15347246,35.64978739,22.06269067,25.73631759,19.06008355,11.36292898,12.29814112,29.88103727,31.58999723,25.11384993,25.44796484
1730,1729,17307.30729,4.157091132,28.92012916,30.87214135,26.64322965,40.69195432,19.03235286,39.01471762,20.13437769,4.304716903,16.03167892,31.32461431,26.41632651,9.920811394,12.63153512,33.39133006,4.189899069,2.992296872,39.65226391,6.482274537,19.09163913,5.334543608,1.435245862,27.86058275,10.7663777,14.59480197,4.809170334,21.50925198,7.163959796,30.08352368,33.70635343,24.15246865,27.92842662,28.34573822,11.79964731,7.392062547,8.814836143,34.03348612,39.82100828,15.50449639,15.29708283
1731,1730,17317.3173,1.158942963,17.87463952,45.55888615,33.72920173,53.67460511,42.1992004,14.86685756,19.86214823,5.691334627,10.31431807,28.41163768,20.71034147,11.42933281,17.6220365,25.52955547,26.49275343,5.126493543,22.34105559,3.077326224,19.0205888,6.581586641,1.543086872,33.78028933,6.172584645,13.46607426,13.95467858,22.31715887,8.886349011,29.4630568,23.11835489,17.20347225,37.89089547,20.38266564,12.7464117,12.47539244,21.41040103,41.54532479,41.22773968,17.28911284,26.27696054
1732,1731,17327.32731,11.54259292,20.61262659,39.46971872,17.82132134,31.56018257,42.25211559,26.14926044,12.78141498,2.177309409,-4.451651028,16.43851875,18.30799896,28.05042364,11.90545523,39.23234847,27.93493263,7.897230329,15.88804731,5.11711969,16.8094058,3.616027508,2.737438596,18.34288153,10.32520387,10.74977586,11.09596016,18.57892828,6.025717896,34.70330103,32.55117136,14.08554207,32.27034467,23.02025916,16.65030433,4.667585973,1.423275501,24.65506613,38.22639374,11.80610316,14.75118912
1733,1732,17337.33732,10.12300922,30.77568607,47.51118374,10.74139778,20.45749813,18.46430614,24.62483778,8.859041069,6.330186653,10.82344501,12.48431614,9.100714005,15.76682597,21.4524328,27.73903919,32.02160373,0.976406091,40.74834157,4.292668244,22.32369321,2.525136907,2.456673549,15.12031039,5.002255198,11.84921037,13.5454742,22.26666847,10.66006916,29.33689748,30.00851989,14.97047602,30.26765793,20.92762041,17.60994936,7.791141511,13.76069011,31.68970453,39.06150304,11.7703086,10.24334408
1734,1733,17347.34733,4.85431914,30.85999464,29.27723722,34.2719728,35.40814578,39.07774601,48.10262194,25.09061279,3.665205958,7.008782739,18.41328167,21.53469536,22.81486688,15.53946222,32.00733208,11.33853307,3.887338868,59.79565314,3.944079461,29.63703397,6.480091068,1.670985008,16.75162873,5.943206255,15.42875413,2.473617319,19.74811059,6.105933368,34.8116852,30.5692724,24.28206968,41.46680226,19.54006661,16.62455154,10.20734761,22.7802559,37.36350106,28.73356089,20.96459186,31.14474048
1735,1734,17357.35734,9.067630469,25.88671448,30.02417614,40.72139291,34.87202256,46.63758943,30.79791196,25.59502965,5.399825205,15.36943163,12.49894884,2.404327708,18.00517505,10.620985,20.51402133,24.57248758,9.060814891,17.69701035,4.523206105,24.03333491,5.537463608,2.965792666,3.760015468,5.746777282,17.7073977,5.828809677,16.87323627,6.155377924,30.67093336,23.04541905,23.20415971,16.79470341,30.23590451,21.58499647,14.62592631,21.56237368,22.69815392,36.82589001,23.69086252,15.77136936
1736,1735,17367.36735,5.67151526,29.93070949,46.14295404,39.28718755,32.27410256,11.55573839,49.19987122,13.42252939,4.245645854,28.63198196,21.46556559,16.08165851,25.09209791,1.889174063,24.78231275,35.2311532,1.314896129,22.92477985,1.84778315,23.12722462,2.504514138,3.045876026,26.84741065,8.4675186,16.276675,5.78283399,15.57131896,8.30445521,23.15132628,24.96721736,25.30018918,29.34036763,26.41874506,16.38345682,19.02881787,18.67463904,26.81632717,32.5946978,8.207636022,17.27079669
1737,1736,17377.37736,13.89551401,34.05275005,59.22552446,33.08994708,31.15220616,19.18247564,37.90909239,27.88597584,4.022838755,8.924879909,15.1413403,22.53717321,12.59880449,9.923204475,37.36194748,35.59331565,2.651387055,33.03325295,-0.473372047,31.25768706,2.63320568,5.493283842,29.8830579,9.696235282,7.103654058,13.37929517,17.19550333,5.808744149,31.15966059,26.47924213,28.39261993,35.99241825,29.33628678,17.29119267,13.7697535,15.99338522,42.92371091,55.78174888,20.06721309,25.49060619
1738,1737,17387.38737,5.694532658,23.13211363,20.15830273,25.80457725,33.8492608,23.07959694,37.13012917,17.75474866,4.625756169,14.92382804,18.80275089,23.31306356,19.79647425,13.69112273,35.34057167,22.72371356,6.854733591,40.61910836,2.39951886,33.338228,6.520769636,3.677921447,18.22979833,8.213331544,12.87982106,4.581382142,22.30372468,5.955944339,28.68512035,24.56714422,27.78707477,23.20413865,29.49586304,11.49977497,18.4429836,16.45522263,28.00022435,47.00389228,19.19612602,21.63933703
1739,1738,17397.39738,4.729662916,16.84759331,39.98152797,37.65332464,25.01909197,27.61741928,46.53631954,21.64945914,2.335338,16.25429841,14.27003688,11.94899194,20.31966801,9.578552579,32.19604053,19.85983292,2.260901402,30.21763054,1.611042593,15.01727592,6.637873226,2.668850454,16.9582074,4.080484743,12.13746863,7.135465458,21.84924462,6.426944514,35.16099954,17.12515494,32.08633283,24.37113975,28.19888782,9.721325617,13.59372882,15.34251348,27.32747252,38.34725525,10.62305505,2.839017779
1740,1739,17407.40739,7.739847354,25.78265421,-0.155091793,-2.6857239,43.85887523,8.878737416,27.0538629,19.46725122,5.679885564,9.693472213,9.624928154,16.74176729,11.0362734,17.7459144,24.40913633,25.967871,0.967418223,22.00972489,1.256396216,28.83886806,4.478275145,5.454636261,12.74129499,6.954602819,16.80925417,9.694865827,25.73768836,7.147342208,36.62772923,14.91371691,26.66180424,41.66151128,22.48192468,16.86853378,8.755827308,9.877490423,27.94246709,31.99421407,12.52982827,29.95797567
1741,1740,17417.4174,9.941673407,24.76904621,12.31632126,35.38003089,33.6697673,25.00693723,39.96119982,12.39793397,2.069816527,26.22395639,8.404214483,22.73935868,29.92989023,16.82886818,39.53458525,29.75907098,4.431079724,49.55711456,6.140831121,33.27692917,4.784455151,3.595654776,30.45642346,11.36989941,4.9116807,3.078733711,18.15811046,8.424106163,21.74160095,13.26878401,42.55736685,26.76661184,39.56990941,13.91120174,13.08170676,9.09435043,23.43796204,35.60906635,18.24115407,7.151039414
1742,1741,17427.42741,11.45242822,16.13783735,59.98068582,42.03455175,19.9428184,26.09242483,36.95423424,25.97815257,2.047869082,24.97499449,6.132369378,21.58742424,12.46882287,13.94362619,28.6402852,18.53242765,7.182456154,17.71341123,2.438553732,10.78150395,4.13559705,7.348990254,26.70604974,6.209035532,10.03622663,5.338604351,16.2162301,7.025641856,28.98125725,18.46846882,30.40260349,27.92479016,26.38489452,9.173068943,12.74666151,12.44309955,26.3947506,50.55146718,12.5466075,32.19228814
1743,1742,17437.43742,4.371873222,12.55380351,49.61384934,31.15625361,16.99331503,36.98958509,48.31202066,15.72478221,2.702572695,13.22980394,7.512992693,15.64985478,32.28765568,7.737087418,16.84746075,10.84100829,5.663356327,42.6284999,5.638656149,32.22854278,5.813752602,1.023683003,24.78413141,7.378888716,12.17134016,2.37708832,22.59711078,4.141921056,30.94482075,28.09345332,19.01660939,23.83736548,25.42026246,22.75878167,3.304698096,6.40619649,23.49929604,40.00680743,14.39604045,9.426363285
1744,1743,17447.44743,-0.294021712,29.35100158,56.83392823,31.36423464,51.48377112,0.731288117,48.16125358,29.74347381,3.689762004,15.16639128,18.76025711,22.62811997,14.44026969,19.99234661,28.22905884,25.8101638,0.959930996,25.48175131,1.676658458,17.09990881,7.069480755,6.160931751,14.45980019,7.603002372,17.71824211,6.779747893,25.19067659,5.074237508,27.24804081,22.96378303,37.75105326,26.43871618,29.74789766,15.25598405,6.612912526,8.772074372,28.38160251,30.01637851,17.75780079,28.62442865
1745,1744,17457.45744,6.268712078,16.25537063,21.77658038,15.25067851,54.90698924,30.27636191,30.8565436,28.21397398,4.99582596,13.27600378,14.81584184,16.81581112,11.78630128,16.6698832,42.23135028,18.52485682,2.215829071,42.71931262,5.9485801,27.95222686,5.200275501,2.078700756,38.13625866,11.40291233,13.32069574,16.18756555,27.15274892,5.891426198,33.98418618,29.11474082,22.55109368,45.71479549,14.53013306,24.69432688,6.467053318,6.72408674,24.931049,24.82368983,29.64874345,17.45757184
1746,1745,17467.46745,6.100087969,22.12047703,23.09610416,60.23496768,23.9125832,32.05985787,34.50008128,16.37930903,7.12048492,0.771694927,15.23455836,17.77948605,11.67153738,8.123406528,9.061147784,19.82379265,6.008225335,42.07921953,5.898618959,16.78622209,5.537685366,3.664301871,33.19833093,14.76224953,12.0754142,9.564343771,20.19389553,7.09371514,29.14659173,12.78276575,39.76077895,29.59191058,29.75859077,12.74399349,13.31178955,14.09746097,17.39560077,29.68549695,12.87795791,15.91471921
1747,1746,17477.47746,6.740558387,6.537672756,35.54826984,15.03006184,24.05566194,13.7800368,34.64247241,22.18327496,3.039783796,3.628246688,21.31873861,10.81049095,16.2339591,9.114018907,13.02992337,18.38590815,5.467296859,13.58069817,1.247557063,8.636303198,5.108477586,2.893152812,10.76755045,4.692795911,8.567149317,10.35492381,22.0725289,6.917438001,34.23297522,13.15083377,24.40614897,38.40753699,29.37812382,16.70970559,14.13647069,9.736291865,27.31207626,25.41940533,17.20114503,9.113526285
1748,1747,17487.48747,14.43566254,13.27692271,75.42152524,6.143050542,47.18283809,7.788720176,34.55871292,29.73946295,4.65756678,4.637022739,5.858239241,28.41051696,24.12609938,15.44893918,16.58687488,11.58977495,2.251276764,32.46342851,5.599014553,28.53099953,3.640564984,2.186771409,13.56757078,6.902984962,10.49256829,9.008031883,30.26050487,6.039236223,24.54968774,16.51541438,24.76240948,28.03325088,21.48328542,17.66159047,9.019371309,8.947090306,28.92733863,24.83388522,23.41178692,31.64608162
1749,1748,17497.49748,5.786619821,25.02172153,25.41231257,33.10173922,34.58035078,31.5002346,32.30558272,19.13971293,1.466095571,25.5162519,4.630828911,10.14733459,16.07019586,28.05204488,27.93103092,19.38686312,2.313044691,39.66535856,5.206759966,26.29566487,2.412757377,6.698813784,18.05467107,6.303163835,14.19662293,7.226910548,23.52141239,7.265346783,22.70470986,30.07745281,36.95551819,21.81940047,26.38499779,18.39013973,8.655638983,1.726716894,22.81833219,21.20860336,21.50583076,2.559818555
1750,1749,17507.50749,4.226287539,11.69712904,37.97897561,41.89117296,-0.092533165,10.81045224,29.00545894,23.94450623,2.230892815,19.07507895,30.29292634,10.14464521,18.11129003,0.130118376,29.16679485,17.77356505,5.298070721,43.24788262,3.648086045,29.68098245,3.020165937,4.192155449,12.03757715,6.710718826,10.44179244,12.57069557,23.05982387,4.497573922,32.96728847,34.63561622,31.37610965,39.05034203,19.28387073,25.47796849,6.61964617,10.86517446,32.85156176,47.27920375,22.77263401,20.2033845
1751,1750,17517.5175,8.356730032,37.43873571,34.92550767,42.44796835,26.45525567,28.69801775,28.21811976,37.29621627,0.989017956,-2.383684393,16.03556441,9.715422255,7.543064405,1.165029056,17.6360341,26.22598618,6.98261432,45.56909559,2.377628409,23.35352395,2.59363125,0.273826224,38.9468197,11.82922687,20.86192276,4.401971501,26.11183719,7.346472044,34.52599978,32.78024961,38.67722154,19.78619297,33.17457632,16.38997631,8.207020852,19.1935177,35.45508065,40.57949595,12.40256566,19.31710896
1752,1751,17527.52751,2.023231362,16.87117497,46.1936276,29.74222656,27.27768113,33.3502889,37.44841522,26.50557737,3.690448659,14.05852915,24.91276335,14.40432701,16.60591467,22.00698731,37.21665509,35.40759542,0.18583313,42.89991714,3.160765267,31.88322692,3.194894024,2.057695628,17.7224423,9.097071458,13.04696526,13.95866751,18.24845799,4.505203806,35.46396352,23.24646655,25.76628627,25.35291959,26.82284009,13.65236391,10.15300344,9.417712438,29.45552543,22.6301348,13.88056924,20.10835317
1753,1752,17537.53752,7.890735201,15.26435167,53.06976116,6.894537935,30.06814522,13.82712863,35.3293002,12.43063025,4.543354837,14.24934033,12.44691275,23.51496351,23.21635257,21.91116334,24.1134765,25.70383166,3.98788279,35.0209896,4.545863359,22.3514314,4.932108933,6.457385859,34.97103056,11.54579167,10.96973612,13.09208624,17.1378891,4.037313543,36.84433489,14.96685965,30.1296024,35.5172145,20.62218173,10.90986568,11.94240523,6.77394406,25.71259401,45.45308152,20.74063469,5.827425754
1754,1753,17547.54753,4.563059272,26.60327778,33.72777025,10.44865769,65.77671903,15.34266991,28.56153366,21.15474227,7.196148726,-1.156094726,9.652684026,15.40363445,23.18525269,28.99169913,19.13444882,22.39671042,2.968323326,40.1938388,3.611642092,16.56476539,3.481130308,6.111852817,10.74478141,9.093346592,14.5889722,3.852853722,18.7388902,4.523070915,30.17849889,33.39949597,27.30744608,28.53008451,23.27958458,12.71917881,8.880177433,6.338078852,27.32279746,25.32129753,15.27280462,16.50942372
1755,1754,17557.55754,11.89976611,34.36234602,28.26817116,24.32943961,19.06108622,-4.113596146,25.30328962,4.001940891,1.559794153,3.946425522,24.24160103,15.17192023,11.61681799,10.54123741,26.58499802,23.944758,4.478816057,40.70533308,4.064494998,2.341149338,7.603165719,6.691572206,30.55697716,10.04267987,12.64525735,8.968003484,25.09065405,3.619031769,31.16438943,28.29097073,32.62848362,33.17857698,17.36698004,14.74448303,14.15771365,10.99510325,24.73612578,34.39176316,18.03800397,16.70040613
1756,1755,17567.56755,7.778761251,21.52163783,24.2407084,21.23171837,45.49162678,36.10358921,39.00634167,17.27870956,1.732756701,9.68644787,19.56657203,14.64620458,27.94691833,6.218463097,21.1567071,13.83943671,4.455158914,20.76172038,4.454289986,34.88210116,4.341423142,-0.021019482,22.85280251,5.086388499,19.82936614,7.16029639,24.84268511,2.994806503,29.94357476,36.96790539,29.67742715,17.89908386,28.72932158,20.8806541,20.04149006,21.30890999,33.81976366,38.54319873,15.78634154,1.844867336
1757,1756,17577.57756,9.904060147,15.09656663,24.62427749,33.53161866,38.69943634,24.26903235,26.14088449,17.07027852,6.213930907,20.37152565,20.35207129,6.06010626,11.91682593,9.700180639,12.54614412,21.0918363,6.486161577,34.16046867,7.49064242,19.95876511,7.885929827,1.214307324,38.70648613,8.180437277,15.05256087,13.47710939,19.68395048,8.310598943,40.4202031,23.57878559,20.18084545,38.43369701,18.46319537,20.03126069,5.294914289,26.29550401,26.98019504,24.83723068,20.39750674,23.26919708
1758,1757,17587.58757,2.349973736,23.83384083,27.68118942,33.10276715,31.90722558,31.19716955,44.5679716,21.19428392,1.213368575,21.66864785,15.35309059,20.0911927,23.37204535,13.61107336,9.064653121,20.52147547,6.030618084,49.36891324,2.198484238,22.12087652,4.86223991,3.351094354,18.28323549,5.259457615,12.90788755,5.134693284,22.79263861,6.830482591,25.58890088,26.12721427,23.44452587,39.11281391,24.27938825,20.20612206,14.55866413,10.68808522,21.966368,35.57038951,19.18232497,31.06290607
1759,1758,17597.59758,6.14576584,25.33855685,20.86571128,42.24096058,25.53672146,4.042548451,20.81378113,18.31705726,5.196741104,4.72143773,12.91579272,8.355607472,11.64482005,0.905208802,17.22653079,18.69577085,3.571978324,28.87689293,2.4801688,15.2345823,3.249990506,4.615500491,32.85040252,4.337097117,18.05917034,7.208464927,27.67592948,8.423782741,30.00889306,32.23868247,29.04033682,31.65334494,21.23748991,12.72065245,4.319215127,14.59054603,36.02088285,46.28620471,28.99388394,33.82399823
1760,1759,17607.60759,4.650929945,39.21145862,28.19996188,22.18518226,28.02246266,24.19634625,42.56611986,17.07995546,4.632062292,24.92785577,19.64438884,19.14322972,18.72821297,13.54965705,39.27808632,23.16517468,1.960985148,26.70123338,1.589429406,21.40635891,3.434185004,5.398775341,19.39696013,9.249098428,10.87382711,10.19854912,20.33010275,4.027434973,33.9956449,32.43188631,31.67260854,32.51256281,19.65009816,11.49737404,8.270195836,2.294974723,31.59610912,42.00249003,19.80423023,13.56130429
1761,1760,17617.6176,3.710802589,15.94336691,58.71610517,22.24897149,38.80214662,15.3644951,43.43721853,26.08303623,6.068844589,10.06969112,27.97940402,11.51850721,15.99304023,24.11598693,27.89707255,26.27770056,2.504564758,28.14497088,5.996317133,12.96195518,4.86724795,4.761126778,25.08575023,3.660514007,9.092849418,3.904986571,20.97045705,7.28470173,26.50287274,24.19843127,28.24468417,20.45768616,26.61656728,10.40513432,6.51706634,15.96823749,18.88959769,50.32803729,20.05985957,2.732802065
1762,1761,17627.62761,-1.003144961,26.84519097,35.21109961,20.30077323,42.71703302,26.45246793,49.60191676,19.634291,1.834339046,13.01647246,23.50263546,15.24092137,15.01254689,25.26028838,20.11015282,17.73224251,4.791784747,66.66014972,7.939773047,30.85126698,5.999642806,6.960037839,19.99702029,7.686230764,13.59036499,8.16762859,22.06941467,7.6482125,23.78456558,26.37621805,37.13464249,49.27798845,28.96360627,12.48604651,19.44963093,9.220229295,25.84784746,55.72640595,15.35785789,18.89873464
1763,1762,17637.63762,7.934942071,15.36771799,52.09301782,-1.746518292,12.51887611,5.685874761,29.06409058,9.309283397,6.225991979,20.93184777,36.58419943,15.20663176,32.65702078,20.52627285,31.00503726,26.79372578,4.980829994,30.48403828,0.96025429,2.904879932,6.467452969,7.18155223,21.8403986,9.645002675,13.29372781,7.316998188,23.70808852,8.286389918,28.3577502,24.4707167,36.55421678,22.26612441,27.11024628,12.44958459,2.079957586,18.51535176,29.33953163,21.74671628,16.79409597,34.04376828
1764,1763,17647.64763,6.271989032,3.999510539,62.94073837,10.92272972,27.14090031,33.49002404,25.86447818,20.79412222,7.508477101,13.11366866,27.11293347,14.34821239,21.18720046,12.62275967,22.43190794,29.24624396,2.883155043,39.8794778,4.969305503,11.16957028,4.30144741,2.943349817,3.665016564,11.19110391,14.1426627,14.69014031,22.96793138,3.834768349,31.88067668,35.96586496,20.17265499,31.20455872,14.4849511,16.15262551,9.70971549,5.064138527,30.6524288,23.90611523,26.26000518,13.3911318
1765,1764,17657.65764,8.112564723,23.2057546,41.49797088,4.539924717,39.56055255,29.61174237,41.97980345,18.13297516,7.868638065,13.96551939,29.87167751,18.31875991,28.59686895,14.19352282,37.40758606,12.99338184,4.575725005,41.76191274,2.58485678,22.52089972,3.770674173,1.655380901,12.50647821,6.508508969,15.70824987,9.637232939,24.331377,7.54962375,27.82385434,34.94039797,29.76261291,24.03058177,21.50978344,19.81922726,11.58555224,8.76994269,33.22629535,40.77055023,28.35167386,5.599576488
1766,1765,17667.66765,6.732471719,17.69122707,46.78885624,28.13118322,55.33057079,-2.94617039,38.8220708,24.96862607,3.280193706,9.30738945,28.06563827,19.39044784,13.9170383,22.73912037,25.87681492,26.37464847,3.206443448,26.47960572,1.152142438,20.53187488,3.73304729,5.659855959,17.25276493,3.485308039,16.07826717,3.106173308,20.4300412,6.358112727,30.87194062,22.20669355,24.83132906,34.33750265,23.7177576,16.01239409,15.31859881,13.15081502,20.05953307,30.86621203,9.380904195,17.02526396
1767,1766,17677.67766,-1.702310849,25.68960627,21.58422911,25.48481895,17.58810683,13.65956886,20.47036723,10.71609963,4.384400367,15.75749007,13.38170709,13.68610977,18.43110547,21.19529935,16.96673717,38.76825254,4.628277034,33.18790041,1.114008207,31.0835355,8.984103518,9.20038299,21.30631195,13.85928474,15.98350707,5.187034083,19.54501754,6.909196601,30.17539563,29.00210282,35.68395039,27.45345903,28.40565602,13.64810663,11.47321609,16.1715793,24.63681897,45.43564177,19.12314059,33.10391435
1768,1767,17687.68767,4.529316358,38.1471905,30.25496587,5.059274145,34.15468007,20.39620996,28.35213494,23.68754254,2.58749404,10.65212762,33.34177791,13.71436658,17.97449416,12.10337722,30.59462773,22.53381604,5.774541965,14.8345771,5.558364777,8.634188407,7.689410497,5.941626319,22.23546196,6.404821488,20.6383313,3.935849037,21.6816125,6.291351899,29.09826029,16.37168575,30.76550041,31.75911876,24.49735787,12.1090425,5.961266089,22.24012943,32.18886664,54.90417697,11.6154167,37.38338055
1769,1768,17697.69768,5.088340113,27.03392735,13.49049344,34.37837509,38.18657152,15.34157846,37.2557684,19.83642107,2.762234213,9.756241136,18.13226501,18.10893278,9.415092026,25.26298354,28.72298413,12.42834132,7.04005565,40.07858576,3.241434311,20.53803416,3.07252124,0.018142588,21.27960619,6.847239595,15.53982133,11.17429123,30.81208264,5.324409744,30.91682599,23.4627877,16.81045623,38.1076474,14.19277661,12.69052704,6.549005693,14.364233,25.22477069,24.51834168,17.85509388,18.27995564
1770,1769,17707.70769,1.489983242,27.72169289,35.48982885,17.87404302,37.93088569,21.45657399,27.59829956,29.48811592,4.846398908,12.09886573,0.242053111,7.7851855,8.539224503,25.00668893,19.02669613,27.89101228,5.150250839,41.35776477,4.584352436,28.69667725,8.045333415,2.91363644,28.95707628,4.8372297,16.94566635,-0.046445764,23.83517889,7.148716364,25.05126725,36.63957629,33.85202006,37.06444989,37.13064513,10.18213243,8.790441456,17.74036462,27.65485448,44.95067356,23.35436084,19.96357621
1771,1770,17717.7177,6.268118098,16.28582015,40.1886313,14.81696399,31.63042703,-10.48942032,42.86765401,24.53953442,2.598344914,32.83293833,14.82088278,24.15338287,24.93187409,33.23536289,43.73637672,19.71927925,2.019589095,38.96269839,1.902619987,14.27257769,6.783256004,6.113141793,21.62990112,8.919305013,7.670841736,7.807006922,17.40633029,6.955251058,31.76896068,24.4081601,32.93638457,15.74839341,21.01600674,10.8112909,9.062174114,7.376560096,29.90963312,26.61982311,17.45367915,27.78275113
