DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,
Date:, November 21 2024 13:23:20,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,
,,,,,,,
,,,,,,,
Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable
,,,,,,,
integer,id,ID of each record,,,,,
double,Cell ID: 106 (X): T (msec),(X): Cell ID: 106 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 106 (Y),Raw Ci on CYm API F(t) for Cell ID: 106 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (X): T (msec),(X): Cell ID: 115 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (Y),Raw Ci on CYm API F(t) for Cell ID: 115 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (X): T (msec),(X): Cell ID: 117 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (Y),Raw Ci on CYm API F(t) for Cell ID: 117 (Y),,TRUE,FALSE,FALSE,
,,,,,,,
,,,,,,,
id,Cell ID: 106 (X): T (msec),Cell ID: 106 (Y),Cell ID: 115 (X): T (msec),Cell ID: 115 (Y),Cell ID: 117 (X): T (msec),Cell ID: 117 (Y),
187,1861.86,136.5316406,1861.86,130.6172447,1861.86,133.1619433,
188,1871.87,137.1240234,1871.87,131.7801661,1871.87,132.2510121,
189,1881.88,140.1980469,1881.88,134.4562775,1881.88,133.291498,
190,1891.89,146.7601563,1891.89,139.9406448,1891.89,139.8016194,
191,1901.9,149.9060547,1901.9,142.8673669,1901.9,140.3643725,
192,1911.91,151.6904297,1911.91,143.9025403,1911.91,142.7935223,
193,1921.92,152.7923828,1921.92,144.3380557,1921.92,142.7449393,
194,1931.93,153.3623047,1931.93,144.5119687,1931.93,142.5587045,
195,1941.94,154.1726563,1941.94,144.9978017,1941.94,143.465587,
196,1951.95,154.4046875,1951.95,145.1514411,1951.95,146.0364372,
197,1961.96,154.7841797,1961.96,145.2740596,1961.96,145.5222672,
198,1971.97,155.2673828,1971.97,145.044211,1971.97,144.437247,
199,1981.98,155.5683594,1981.98,145.4040059,1981.98,145.5222672,
200,1991.99,155.8683594,1991.99,144.9340498,1991.99,144.6072874,
201,2002,155.8652344,2002,145.217147,2002,146.388664,
202,2012.01,156.1324219,2012.01,145.2027357,2012.01,145.5303644,
203,2022.02,156.5580078,2022.02,145.030044,2022.02,146.0769231,
204,2032.03,156.3494141,2032.03,145.0530044,2032.03,146.242915,
205,2042.04,156.5523438,2042.04,144.943576,2042.04,146.48583,
206,2052.05,156.9193359,2052.05,145.0202736,2052.05,146.0607287,
207,2062.06,157.0019531,2062.06,144.4369809,2062.06,145.6396761,
208,2072.07,157.2775391,2072.07,144.7655105,2072.07,146.7327935,
209,2082.08,157.1316406,2082.08,144.6893014,2082.08,146.7449393,
210,2092.09,157.0236328,2092.09,144.2022472,2092.09,145,
211,2102.1,157.2941406,2102.1,144.2354665,2102.1,145.4574899,
212,2112.11,157.4408203,2112.11,144.2857841,2112.11,145.951417,
213,2122.12,157.3349609,2122.12,143.8744504,2122.12,146.9878543,
214,2132.13,157.2484375,2132.13,143.840254,2132.13,145.8582996,
215,2142.14,157.1775391,2142.14,143.1182218,2142.14,144.6032389,
216,2152.15,157.3640625,2152.15,143.2645335,2152.15,146.2307692,
217,2162.16,157.2892578,2162.16,143.4171959,2162.16,145.9271255,
218,2172.17,156.8882813,2172.17,143.5466536,2172.17,146.0850202,
219,2182.18,156.8171875,2182.18,143.198339,2182.18,144.3846154,
220,2192.19,156.4695313,2192.19,142.7256961,2192.19,144.6437247,
221,2202.2,156.0488281,2202.2,142.71617,2202.2,144.8502024,
222,2212.21,156.4742188,2212.21,142.3324377,2212.21,144.4412955,
223,2222.22,156.2228516,2222.22,142.1724475,2222.22,145.3522267,
224,2232.23,155.9361328,2232.23,142.048852,2232.23,146.4939271,
225,2242.24,155.9484375,2242.24,141.6939424,2242.24,144.951417,
226,2252.25,155.5111328,2252.25,141.6033219,2252.25,144.7044534,
227,2262.26,155.3857422,2262.26,141.4176844,2262.26,143.6477733,
228,2272.27,155.4966797,2272.27,141.0659502,2272.27,144.1578947,
229,2282.28,154.9246094,2282.28,141.0207621,2282.28,144.2591093,
230,2292.29,155.1705078,2292.29,141.0720567,2292.29,143.465587,
231,2302.3,154.5445313,2302.3,140.7198339,2302.3,142.9676113,
232,2312.31,154.4330078,2312.31,140.494382,2312.31,142.9554656,
233,2322.32,153.7621094,2322.32,140.4587201,2322.32,143.7773279,
234,2332.33,153.1453125,2332.33,140.1919883,2332.33,143.0445344,
235,2342.34,152.8955078,2342.34,139.7242306,2342.34,142.2469636,
236,2352.35,152.5402344,2352.35,139.2513434,2352.35,141.9635628,
237,2362.36,152.0011719,2362.36,139.1394724,2362.36,141.5425101,
238,2372.37,151.9853516,2372.37,139.1262824,2372.37,141.6396761,
239,2382.38,151.2660156,2382.38,138.6182218,2382.38,141.4898785,
240,2392.39,150.8677734,2392.39,138.2442599,2392.39,141.951417,
241,2402.4,150.1572266,2402.4,138.1199316,2402.4,141.0323887,
242,2412.41,149.8212891,2412.41,137.4350269,2412.41,141.2064777,
243,2422.42,149.2107422,2422.42,136.8187592,2422.42,139.4939271,
244,2432.43,148.7183594,2432.43,136.5156326,2432.43,140.2753036,
245,2442.44,148.2804688,2442.44,136.55447,2442.44,138.3441296,
246,2452.45,147.9146484,2452.45,135.8063019,2452.45,137.3562753,
247,2462.46,147.0757813,2462.46,135.1123596,2462.46,139.1012146,
248,2472.47,146.9324219,2472.47,134.832682,2472.47,138.1336032,
249,2482.48,146.390625,2482.48,134.462384,2482.48,136.7368421,
250,2492.49,145.7375,2492.49,134.4364924,2492.49,137.0080972,
251,2502.5,145.2800781,2502.5,134.0708354,2502.5,137.5951417,
252,2512.51,144.4158203,2512.51,133.7401075,2512.51,136.4089069,
253,2522.52,143.3435547,2522.52,133.1587689,2522.52,135.4615385,
254,2532.53,142.8728516,2532.53,132.8077675,2532.53,135.9352227,
255,2542.54,142,2542.54,132.3387885,2542.54,135.2793522,
256,2552.55,141.3982422,2552.55,132.3302394,2552.55,134.3198381,
257,2562.56,140.9960938,2562.56,132.0373718,2562.56,134.4615385,
258,2572.57,140.1597656,2572.57,132.1748901,2572.57,134.7611336,
259,2582.58,139.3552734,2582.58,131.6314118,2582.58,134.3481781,
260,2592.59,138.7748047,2592.59,130.9570103,2592.59,133.2348178,
261,2602.6,138.2835938,2602.6,130.3739619,2602.6,133.4898785,
262,2612.61,137.7703125,2612.61,130.2056668,2612.61,131.7165992,
263,2622.62,137.2660156,2622.62,129.857108,2622.62,131.9433198,
264,2632.63,136.9451172,2632.63,129.3236444,2632.63,131.9473684,
265,2642.64,136.4402344,2642.64,129.1575476,2642.64,132.6234818,
266,2652.65,135.7787109,2652.65,128.821446,2652.65,131.5263158,
267,2662.66,135.7822266,2662.66,128.500977,2662.66,131.5425101,
268,2672.67,135.5763672,2672.67,128.1499756,2672.67,131.6680162,
269,2682.68,134.9996094,2682.68,128.2645335,2682.68,130.3684211,
270,2692.69,134.9271484,2692.69,127.8981436,2692.69,130.6639676,
271,2702.7,134.3357422,2702.7,127.636297,2702.7,131.1740891,
272,2712.71,134.3164063,2712.71,127.759404,2712.71,129.6396761,
273,2722.72,134.1076172,2722.72,127.7183683,2722.72,129.5263158,
274,2732.73,134.2105469,2732.73,127.4213483,2732.73,129.6194332,
275,2742.74,133.8804688,2742.74,127.3717636,2742.74,130.7408907,
276,2752.75,133.8335938,2752.75,127.4658036,2752.75,129.5465587,
277,2762.76,133.7667969,2762.76,127.5449438,2762.76,129.9838057,
278,2772.77,133.6837891,2772.77,127.2379091,2772.77,129.2105263,
279,2782.78,133.6652344,2782.78,127.3966781,2782.78,130.2469636,
280,2792.79,133.3376953,2792.79,127.265022,2792.79,129.1336032,
281,2802.8,133.0833984,2802.8,127.3766488,2802.8,129.7813765,
